-85.7641144,33.788311,"Murphy: USA; #7170,","Gas/Diesel,"
-85.764007,33.788231,"Walmart Supercenter; #0300,","Gas/Diesel,"
-87.254556,33.843721,"Walmart Supercenter; #0287,",
-86.519748,33.562104,"Walmart Supercenter; #0562,","Gas/Diesel,"
-86.521053,33.562292,"Murphy: USA; #7555,","Gas/Diesel,"
-86.74917,34.79353,"Wm Nbrhd Mkt; #7342,",
-86.7302,34.756393,"Walmart Pickup & Fuel; #5746,","Gas,"
-86.773289,34.749878,"Walmart Supercenter; #5703,",
-86.740257,34.681766,"Murphy: USA; #5721,","Gas,"
-86.740697,34.682772,"Walmart Supercenter; #2690,","Gas,"
-86.399215,32.494634,"Walmart Supercenter; #4318,",
-86.3062676,32.331387,"Murphy: USA; #7502,","Gas/Diesel,"
-88.125032,30.683536,"Walmart Supercenter; #0991,",
-88.16761,30.713487,"Wm Nbrhd Mkt; #4210,",
-88.1613223,30.6495582,"Murphy: USA; #6880,","Gas/Diesel,"
-88.161798,30.649465,"Wm Nbrhd Mkt; #5098,","Gas/Diesel,"
-88.247149,30.639031,"Walmart Supercenter; #4581,",
-88.103716,30.668953,"Wm Nbrhd Mkt; #5740,",
-88.162626,30.594576,"Walmart Supercenter; #0866,",
-88.123167,30.678167,"Sam's Club; #8102,","Gas,"
-88.189511,30.640966,"Wm Nbrhd Mkt; #4657,",
-88.194899,30.679921,"Wm Nbrhd Mkt; #4648,",
-88.223742,30.677928,"Walmart Supercenter; #0853,",
-87.33097,31.48112,"Walmart Supercenter; #1493,",
-86.1339951,32.3571968,"Murphy: USA; #7501,","Gas/Diesel,"
-86.133813,32.355393,"Walmart Supercenter; #4407,","Gas/Diesel,"
-86.214737,32.465771,"Sam's Club; #8106,","Gas,"
-86.267625,32.403706,"Wm Nbrhd Mkt; #4672,",
-86.23261,32.326823,"Walmart Supercenter; #0930,",
-86.232821,32.327816,"Murphy: USA; #7556,","Gas/Diesel,"
-86.186348,32.3830223,"Murphy: USA; #6728,","Gas/Diesel,"
-86.184597,32.384223,"Walmart Supercenter; #0938,","Gas/Diesel,"
-86.175159,32.338768,"Wm Nbrhd Mkt; #4691,",
-86.2709134,32.37113,"Murphy: USA; #7339,","Gas/Diesel,"
-86.269382,32.370347,"Walmart Supercenter; #5348,","Gas/Diesel,"
-87.3112717,34.66576,"Murphy: USA; #7571,","Gas/Diesel,"
-87.276973,34.494578,"Walmart Supercenter; #0394,",
-87.673706,34.746723,"Walmart Supercenter; #0660,","Gas,"
-87.7119651,34.7453778,"Murphy: USA; #5368,","Gas,"
-87.573538,33.23909,"Wm Nbrhd Mkt; #5248,",
-87.6131363,33.2358665,"Murphy: USA; #5593,","Gas,"
-87.61419,33.236196,"Walmart Supercenter; #2306,","Gas,"
-86.447084,33.971806,"Walmart Supercenter; #0315,",
-85.421653,32.637052,"Walmart Supercenter; #0355,","Gas/Diesel,"
-85.4218246,32.6354134,"Murphy: USA; #6782,","Gas/Diesel,"
-87.593859,30.268534,"Wm Nbrhd Mkt; #5653,",
-86.485785,34.658484,"Walmart Supercenter; #5197,","Gas/Diesel,"
-86.4855713,34.6599354,"Murphy: USA; #7262,","Gas/Diesel,"
-85.776366,33.610335,"Sam's Club; #4836,","Gas,"
-85.834571,33.600784,"Murphy: USA; #6758,","Gas/Diesel,"
-85.833028,33.599795,"Walmart Supercenter; #0809,","Gas/Diesel,"
-85.650922,31.44433,"Walmart Supercenter; #0740,","Gas/Diesel,"
-85.6507927,31.4433707,"Murphy: USA; #6885,","Gas/Diesel,"
-86.791032,33.339511,"Walmart Supercenter; #5262,","Gas/Diesel,"
-86.792188,33.3384304,"Murphy: USA; #7051,","Gas/Diesel,"
-86.2799136,33.6091357,"Murphy: USA; #6952,","Gas/Diesel,"
-86.278017,33.609551,"Walmart Supercenter; #5113,","Gas/Diesel,"
-85.043407,32.500236,"Walmart Supercenter; #1284,",
-85.076644,32.467116,"Wm Nbrhd Mkt; #5903,",
-86.416339,32.462164,"Walmart Supercenter; #0483,",
-85.365101,33.164394,"Walmart Supercenter; #0863,","Gas/Diesel,"
-85.3668956,33.1637831,"Murphy: USA; #7030,","Gas/Diesel,"
-87.710445,30.532051,"Walmart Supercenter; #6173,",
-87.726164,34.4943029,"Murphy: USA; #7171,","Gas/Diesel,"
-87.728099,34.494889,"Walmart Supercenter; #0403,","Gas/Diesel,"
-88.0964661,30.8010464,"Murphy: USA; #6723,","Gas/Diesel,"
-88.096974,30.800588,"Walmart Supercenter; #1212,","Gas/Diesel,"
-86.006994,34.66849,"Walmart Supercenter; #0712,",
-87.012864,32.432916,"Walmart Supercenter; #0700,","Gas,"
-87.0221939,32.4435463,"Murphy: USA; #5692,","Gas,"
-88.229125,30.763425,"Murphy: USA; #6987,","Gas/Diesel,"
-88.228359,30.762146,"Walmart Supercenter; #5174,","Gas/Diesel,"
-86.4309816,33.7779801,"Murphy: USA; #7507,","Gas/Diesel,"
-86.432585,33.778733,"Walmart Supercenter; #3386,","Gas/Diesel,"
-87.042126,33.743823,"Murphy: USA; #6839,","Gas/Diesel,"
-87.042151,33.744594,"Walmart Supercenter; #2723,","Gas/Diesel,"
-86.286284,33.175291,"Walmart Supercenter; #0730,",
-86.0825171,33.4385332,"Murphy: USA; #7071,","Gas/Diesel,"
-86.081078,33.438168,"Walmart Supercenter; #0432,","Gas/Diesel,"
-85.932116,32.565646,"Walmart Supercenter; #1057,",
-88.214839,30.562893,"Wm Nbrhd Mkt; #5744,",
-87.738488,31.939513,"Walmart Supercenter; #1174,","Gas,"
-87.737155,31.9398623,"Murphy: USA; #5702,","Gas,"
-85.9412578,31.7790142,"Murphy: USA; #5743,","Gas,"
-85.939333,31.779816,"Walmart Supercenter; #0723,","Gas,"
-87.520578,33.166096,"Sam's Club; #6435,","Gas,"
-87.518398,33.166167,"Walmart Supercenter; #0715,",
-87.482802,33.169439,"Wm Nbrhd Mkt; #5256,",
-85.17894,32.835856,"Walmart Supercenter; #0733,","Gas,"
-85.1774217,32.837597,"Murphy: USA; #5732,","Gas,"
-86.791267,33.428893,"Wm Nbrhd Mkt; #4580,",
-86.2144656,32.5073225,"Murphy: USA; #6907,","Gas/Diesel,"
-86.213048,32.507263,"Walmart Supercenter; #1101,","Gas/Diesel,"
-87.840515,33.936065,"Walmart Supercenter; #0362,",
-94.229055,35.479555,"Walmart Supercenter; #0358,","Gas/Diesel,"
-94.2305908,35.4809608,"Murphy: USA; #7330,","Gas/Diesel,"
-93.095638,34.119748,"Walmart Supercenter; #0318,",
-91.6019386,36.2377951,"Murphy: USA; #6800,","Gas/Diesel,"
-91.5976,36.2373,"Walmart Supercenter; #0160,","Gas/Diesel,"
-94.109939,33.657415,"Walmart Supercenter; #0133,",
